    v1     v2     v3     v4  Label
-0.8770 -1.3194 0.5400 0.3431 2.0000
-0.0429 -1.1988 0.9276 -0.5062 1.0000
0.6149 -0.9031 0.8422 -0.7026 1.0000
-0.2808 -0.6990 0.0375 0.9965 2.0000
0.0228 -1.0489 0.8097 -0.2420 3.0000
0.6014 -0.7847 0.0006 -0.4052 1.0000
-0.5922 -1.5178 0.6520 -0.5119 1.0000
0.8950 -0.2539 0.3897 0.4482 1.0000
0.5746 -0.7437 0.3748 -0.2719 1.0000
-0.6280 -1.2859 0.4881 0.0838 3.0000
-0.4988 -1.2784 0.4975 -0.0743 3.0000
-0.4736 -1.5900 0.9188 -0.8437 1.0000
0.8622 -0.6559 0.8883 -0.4556 1.0000
-0.3084 -0.8939 0.2749 0.5743 3.0000
-0.1532 -1.4143 0.7514 -0.8648 1.0000
-0.4397 -1.2546 0.7752 -0.0985 3.0000
-0.7983 -1.2489 0.8154 0.4026 2.0000
0.0035 -0.6446 0.6531 0.7382 2.0000
0.7816 -0.8989 0.7337 -0.9194 1.0000
-0.5834 -0.9836 0.2110 0.7364 2.0000
0.6967 -0.4113 0.7138 0.3463 1.0000
-0.5932 -0.8960 0.0843 0.9563 2.0000
0.0675 -0.5807 0.8049 0.8022 2.0000
0.2668 -0.7821 0.7984 0.0559 1.0000
-0.1786 -1.0614 0.2528 0.0025 3.0000
-0.4441 -1.2379 0.9423 -0.0532 3.0000
0.6631 -0.8106 0.9681 -0.5500 1.0000
0.3951 -1.0466 0.7169 -0.7426 1.0000
-0.0445 -1.1856 0.3548 -0.4729 1.0000
0.9505 -0.3089 0.1970 0.2429 1.0000
-0.6885 -1.3894 0.9820 -0.0783 2.0000
0.7067 -0.6730 0.7859 -0.2845 1.0000
0.0870 -0.9861 0.7510 -0.1811 3.0000
-0.6905 -1.1606 0.8370 0.4642 2.0000
-0.0673 -1.1662 0.8371 -0.3960 1.0000
0.9728 -0.2058 0.1796 0.4561 1.0000
0.7403 -0.2324 0.8649 0.7093 1.0000
-0.1866 -0.7509 0.7466 0.7459 3.0000
-0.8280 -1.1278 0.3940 0.7287 2.0000
-0.7157 -1.2271 0.3591 0.3417 2.0000
0.6420 -0.9724 0.6754 -0.9031 1.0000
-0.7651 -1.7244 0.9664 -0.7646 1.0000
-0.4319 -1.0578 0.3732 0.3552 3.0000
0.8220 -0.6990 0.0196 -0.5027 1.0000
-0.1906 -1.1148 0.8567 -0.1073 3.0000
-0.0177 -1.0211 0.7700 -0.1213 3.0000
-0.6235 -1.1535 0.4778 0.3899 3.0000
0.4520 -0.6864 0.6295 0.0299 1.0000
0.4355 -0.8519 0.2475 -0.3381 1.0000
-0.4071 -1.3928 0.2223 -0.4686 3.0000
-0.0088 -0.6066 0.2926 0.8447 2.0000
0.6081 -0.2525 0.7798 0.8414 2.0000
-0.6856 -1.6289 0.9266 -0.6472 1.0000
-0.5514 -0.8951 0.8210 0.9016 2.0000
-0.3357 -1.0770 0.0650 0.1793 3.0000
0.7863 -0.4650 0.0175 0.0979 1.0000
-0.8672 -1.2562 0.2110 0.4790 2.0000
-0.9354 -1.1171 0.1332 0.8999 2.0000
-0.3791 -0.9056 0.8409 0.6427 3.0000
0.6637 -0.2902 0.3424 0.6771 1.0000
0.7620 -0.3515 0.3843 0.3988 1.0000
-0.1893 -1.1790 0.4960 -0.2605 1.0000
-0.0227 -0.9046 0.0868 0.1605 1.0000
-0.3730 -1.5782 0.1893 -0.9527 1.0000
-0.1602 -0.8070 0.2422 0.5778 3.0000
-0.2546 -1.0854 0.7992 0.0492 3.0000
-0.2502 -0.7888 0.6721 0.7430 2.0000
-0.7044 -1.3831 0.5311 -0.0418 2.0000
-0.0090 -1.2292 0.1329 -0.6240 1.0000
0.9086 -0.4272 0.3705 0.0208 1.0000
-0.7891 -1.2397 0.8144 0.4116 2.0000
0.5692 -0.7373 0.4323 -0.2494 1.0000
0.3721 -0.5320 0.3086 0.5027 2.0000
-0.6950 -1.5288 0.6299 -0.3983 1.0000
0.3515 -0.8694 0.7682 -0.2652 1.0000
-0.1189 -1.2018 0.4279 -0.4100 1.0000
0.0900 -0.7740 0.1573 0.3154 1.0000
-0.3199 -1.1341 0.4668 0.0230 3.0000
-0.5975 -1.1547 0.7513 0.3517 2.0000
0.2940 -0.4627 0.3368 0.7725 2.0000
0.3483 -0.5714 0.4488 0.4424 1.0000
0.0906 -0.9836 0.2933 -0.1798 3.0000
0.2447 -1.0837 0.8024 -0.6256 1.0000
-0.9727 -1.4776 0.8303 0.0999 2.0000
0.0015 -0.7493 0.8305 0.4940 3.0000
-0.1203 -1.3667 0.3241 -0.7971 1.0000
0.6073 -0.1888 0.1054 0.9930 2.0000
-0.6229 -1.5865 0.3989 -0.6324 1.0000
0.2521 -0.7751 0.5604 0.0924 1.0000
0.0728 -0.7591 0.7322 0.3740 1.0000
0.5312 -0.4791 0.8977 0.4115 1.0000
0.1329 -0.9400 0.7083 -0.1347 3.0000
-0.3373 -1.2490 0.6705 -0.2244 3.0000
0.6535 -0.4885 0.6294 0.2229 1.0000
-0.0041 -0.6596 0.6698 0.7133 2.0000
0.0002 -0.8693 0.6353 0.2127 3.0000
0.7705 -0.9387 0.1525 -0.9984 1.0000
0.0438 -1.0005 0.1087 -0.1562 3.0000
-0.7334 -1.6941 0.7685 -0.7361 1.0000
0.0145 -0.7904 0.1751 0.3793 1.0000
-0.5525 -0.8932 0.1131 0.9076 2.0000
0.6429 -0.3793 0.4451 0.4951 1.0000
-0.9077 -1.2108 0.3565 0.6412 2.0000
0.6323 -0.2583 0.4511 0.7949 2.0000
-0.4600 -1.0022 0.3577 0.5247 2.0000
-0.0044 -0.6099 0.7868 0.8309 2.0000
-0.4756 -1.2492 0.7343 -0.0370 3.0000
-0.7134 -1.3206 0.7069 0.1178 3.0000
-0.1165 -0.7456 0.7994 0.6632 2.0000
-0.3535 -1.4091 0.6324 -0.5802 1.0000
-0.3720 -1.0885 0.7246 0.2014 3.0000
